"sgID","gene_TSS","cell_line","species","time_point","Residuals"
"ACLY_+_40074807.23-P1P2","ACLY__P1P2",0.38425881258717,0.0197848347116806,0.177407697137203,0.418548655563947
"ACLY__P1P2__primary__FWD__16","ACLY__P1P2",0,1.93043420159907e-16,0.677958862237134,0.322041137762866
"ACLY__P1P2__primary__FWD__51","ACLY__P1P2",0.0669776260551409,0,0,0.933022373944859
"ACLY__P1P2__primary__FWD__95","ACLY__P1P2",0.523779748332454,0,0.0702784844464554,0.40594176722109
"ACTA2_+_90750678.23-P2","ACTA2__P2",0.0718398758419896,0,0.720383334908746,0.207776789249265
"ACTA2_-_90751066.23-P2","ACTA2__P2",0.139577358672401,0,0.0481379469152804,0.812284694412319
"ACTA2__P2__primarysecondary__FWD__36","ACTA2__P2",0.341747453834023,0.148055646287988,0.022039956236852,0.488156943641137
"ACTA2__P2__primarysecondary__RVS__39","ACTA2__P2",0.168801736236759,0.0663631774390144,0.114369068465232,0.650466017858995
"ACTA2__P2__primarysecondary__RVS__44","ACTA2__P2",0.137162536917793,2.75872757749853e-10,0,0.862837462806334
"ACTA2__P2__primarysecondary__RVS__49","ACTA2__P2",0.294511668310618,0.0616239777683098,0,0.643864353921073
"ACTA2__P2__primarysecondary__RVS__59","ACTA2__P2",0.108736688238643,1.68148346660646e-10,0,0.891263311593209
"ACTA2__P2__primarysecondary__FWD__69","ACTA2__P2",0.12301459157202,0,0.0653872110860884,0.811598197341891
"ACTR5_+_37377152.23-P1P2","ACTR5__P1P2",0.262287038630858,0,0.162038640452868,0.575674320916274
"ACTR5_+_37377138.23-P1P2","ACTR5__P1P2",0.255294201511055,4.9901164730732e-10,0.250103658009507,0.494602139980427
"ACTR5_+_37377158.23-P1P2","ACTR5__P1P2",0.00680351678008969,0,0.717391476068604,0.275805007151307
"ACTR5_-_37377127.23-P1P2","ACTR5__P1P2",0.263526478489472,0,0.176593694659319,0.559879826851208
"ACTR5__P1P2__primarysecondary__FWD__7","ACTR5__P1P2",0.158537863768626,0,0.208576943996805,0.632885192234569
"ACTR5__P1P2__primarysecondary__FWD__35","ACTR5__P1P2",0.0797102246630475,5.63236052964201e-09,0.138008709416909,0.782281060287683
"ACTR5__P1P2__primarysecondary__RVS__71","ACTR5__P1P2",0.269461604470506,0.169731054293103,0.10173548989786,0.459071851338531
"ACTR5__P1P2__primarysecondary__RVS__76","ACTR5__P1P2",0.131722467961705,0,0.487568569296287,0.380708962742008
"ACTR8_-_53916193.23-P1P2","ACTR8__P1P2",0.195330930993853,0,0.32511368269981,0.479555386306337
"ACTR8_-_53915974.23-P1P2","ACTR8__P1P2",0.000815119219086516,0,0.945153141503547,0.0540317392773665
"ACTR8__P1P2__primary__RVS__3","ACTR8__P1P2",0.00151393771653346,0,0.693638426323558,0.304847635959909
"ACTR8_+_53916142.23-P1P2","ACTR8__P1P2",0,0.060746182746618,0,0.939253817253382
"ACTR8__P1P2__primary__RVS__20","ACTR8__P1P2",0.081865135304227,0.00724833334299284,0.0527504263925989,0.858136104960181
"ACTR8__P1P2__primary__FWD__54","ACTR8__P1P2",0,0.00850107410555689,0.905548281783409,0.0859506441110342
"ACTR8__P1P2__primary__RVS__16","ACTR8__P1P2",0.0367483399864969,5.64379167344971e-09,0.591308978101744,0.371942676267967
"ACTR8__P1P2__primary__FWD__16","ACTR8__P1P2",0.127874808216686,0.0750873869406771,0.363564151663659,0.433473653178978
"ADAM18_+_39442506.23-P1P2","ADAM18__P1P2",0.0250858190464313,0,0,0.974914180953569
"ADAM18_-_39442133.23-P1P2","ADAM18__P1P2",0,0.618850264307015,0.0346959431928597,0.346453792500126
"ADAM18__P1P2__primary__RVS__-19","ADAM18__P1P2",0.291102830397713,0.0518823186699284,0.0199239559337074,0.637090894998651
