"sgID","gene_TSS","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM194A__P1P2__primary__FWD__62","TMEM194A__P1P2",2731.24148440267,-0.101856014460462,0.107163397382752,-0.950473920649104,0.341871499160705,0.520739614027545
"TMEM194A__P1P2__primary__FWD__75","TMEM194A__P1P2",2698.15187427853,-0.0623804144963206,0.105765129330274,-0.589801335197393,0.55532384744033,0.713956520479216
"TMEM194A_+_57472521.23-P1P2","TMEM194A__P1P2",1418.44364917272,-0.112400492464412,0.137790608303234,-0.81573406089516,0.414652253706597,0.592194361746457
"TMEM198__P1P2__primary__RVS__61","TMEM198__P1P2",2982.86426072072,0.0162315770000582,0.0832128282468692,0.195060994104222,0.845345198178058,0.91899377500372
"TMEM198__P1P2__primary__FWD__75","TMEM198__P1P2",2599.23917787275,0.0246706697652659,0.0786591605039282,0.313640135582605,0.753794372758929,0.860608710093538
"TMEM198__P1P2__secondary__RVS__60","TMEM198__P1P2",2376.76319998051,0.0638218462409988,0.0894137078992,0.713781451865837,0.475362330761961,0.648501477186701
"TMEM198__P1P2__secondary__RVS__36","TMEM198__P1P2",2277.13835348878,0.134661350597469,0.0795891372323387,1.6919564061156,0.0906542858754917,0.200320732572429
"TMEM198__P1P2__secondary__RVS__37","TMEM198__P1P2",2013.5089901154,0.1509048906044,0.0913329050063352,1.65225107636653,0.0984833781369857,0.213766991818075
"TMEM198_+_220408814.23-P1P2","TMEM198__P1P2",1812.77742947772,-1.10713876940195,0.199722753219235,-5.54337826590366,2.96690964333633e-08,2.41619731509047e-07
"TMEM198__P1P2__secondary__RVS__38","TMEM198__P1P2",2307.99370483915,0.041642524611504,0.114139008928178,0.364840425745308,0.715230526631737,0.835193390911377
"TMEM198__P1P2__secondary__FWD__45","TMEM198__P1P2",2286.07080374501,-0.105472994682233,0.0826766502427307,-1.27572893159767,0.202051357623236,0.36283442620423
"TMEM229B__67981402__FWD__41","TMEM229B__P1",2968.03695618836,0.109777130703463,0.0907439378578466,1.20974616370994,0.226376309986347,0.393332083653046
"TMEM229B__67981402__FWD__42","TMEM229B__P1",2469.56664351236,0.265520900906092,0.111502473510011,2.38130054471171,0.0172516303818025,0.0509913116565914
"TMEM229B__67981402__FWD__-21","TMEM229B__P1",2104.05238287803,0.0721393348564308,0.143116686845657,0.504059564586126,0.614219520494065,0.759382995013283
"TMEM229B__67981402__FWD__-20","TMEM229B__P1",2318.75442809483,0.174291356700091,0.122015322937801,1.42843826909296,0.153165750759096,0.296680128945854
"TMEM229B__67981402__FWD__-17","TMEM229B__P1",2550.24648318113,-0.0608604155198998,0.112876205983732,-0.539178429940063,0.589763742360391,0.739629881786771
"TMEM229B__67981402__FWD__-12","TMEM229B__P1",2539.77629041969,0.0547416527854817,0.0912467787141093,0.59992970225279,0.548553086365951,0.708631214483669
"TMEM229B__67981402__RVS__52","TMEM229B__P1",2333.50963711998,0.043935038484525,0.136030698188957,0.3229788501379,0.746711259549109,0.856175858639908
"TMEM229B_-_67982129.23-P1","TMEM229B__P1",1645.20366676062,0.268245861831756,0.198796844435128,1.34934667898761,0.177225638898445,0.330078065292103
"TMEM258_-_61560080.23-P1P2","TMEM258__P1P2",1649.54864933919,-2.77907461116681,0.377806459494093,-7.35581550111179,1.89764972701485e-13,3.63860243696728e-12
"TMEM258_-_61559638.23-P1P2","TMEM258__P1P2",1176.29822288072,-1.51445139619699,0.232847665245403,-6.50404372575895,7.81891532022014e-11,1.00278883504227e-09
"TMEM258_-_61559986.23-P1P2","TMEM258__P1P2",1420.70053960541,-1.06156646004146,0.262438661350022,-4.04500790615458,5.23213583688141e-05,0.000258220037250371
"TMEM258_-_61559860.23-P1P2","TMEM258__P1P2",2374.07074913672,-0.061414495642794,0.110839080114573,-0.554087020384062,0.579519292600018,0.732561664971883
"TMEM258__P1P2__primary__RVS__45","TMEM258__P1P2",3242.61986065631,0.0127410599011872,0.0821448654640026,0.15510476314275,0.876738727186801,0.93485971758064
"TMEM258__P1P2__primary__FWD__30","TMEM258__P1P2",1687.84438551591,-1.44971717266761,0.272631862025809,-5.3174898997329,1.05208522726575e-07,7.84244900355214e-07
"TMEM258__P1P2__secondary__RVS__34","TMEM258__P1P2",2616.14050637809,-0.0824452070199048,0.162135372968296,-0.508496113528699,0.611105463980985,0.757092607035581
"TMEM258_-_61559683.23-P1P2","TMEM258__P1P2",1942.67629806485,-0.317405837012874,0.127242434574883,-2.49449673038187,0.0126135888563952,0.0389468689083148
"TMEM68_-_56685856.23-P1P2","TMEM68__P1P2",1184.18630571259,-3.8908250356144,0.31692393501544,-12.2768418719301,1.2061527510589e-34,4.88727767724667e-32
