"sgID","gene_TSS","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NAIP__70315936__FWD__240","NAIP__70315936",2331.2165724743,0.0489572821549581,0.109054474404489,0.448925020475297,0.653485746140379,0.832482894339861
"NAIP__70315936__FWD__22","NAIP__70315936",2569.19147077132,-0.172395247896324,0.112748355240285,-1.5290267208681,0.126257819832342,0.332125636902084
"NAIP__70315936__RVS__90","NAIP__70315936",2862.44595284816,-0.18060747899853,0.168617910863479,-1.07110495008302,0.284122242722309,0.540183718099376
"NAIP__70319713__RVS__40","NAIP__70319713",2434.20648466862,-0.0697295715358155,0.128434912776691,-0.542917576134877,0.587186553902442,0.788917358323484
"NAIP__70319713__FWD__23","NAIP__70319713",3502.60702022599,0.0216701519666473,0.111433151081951,0.194467730260184,0.845809660893012,0.934161993663979
"NAIP__70319713__RVS__-25","NAIP__70319713",2692.96059246888,-0.23039030567218,0.104252846391661,-2.20991861274119,0.0271108112294428,0.1119940209619
"NAIP__70319713__RVS__71","NAIP__70319713",2798.21021581761,-0.168833872344519,0.122027776610182,-1.38356919247868,0.166490406994088,0.3956754211311
"NAIP__70319713__RVS__-23","NAIP__70319713",2140.24371737241,-0.188445805294874,0.137273222125521,-1.37277906336723,0.169821041379034,0.399508538307383
"NAIP__70319713__FWD__24","NAIP__70319713",3362.02218164914,0.0224407858812714,0.095036482320934,0.236128119783409,0.813333254364001,0.918667235365699
"NAIP__70319713__RVS__48","NAIP__70319713",2959.63939826694,-0.187002358645325,0.145354987234457,-1.28652179194712,0.198261018474248,0.441121654845162
"NAIP__70319713__RVS__4","NAIP__70319713",3167.2930878395,-0.061194954507053,0.100747921744631,-0.607406618889528,0.54358109699692,0.761872367787851
"NBPF14__148025047__FWD__-147","NBPF14__148025047",2687.31004255161,-0.227860034843454,0.104547663232686,-2.17948472302359,0.0292956783394595,0.118939225727877
"NBPF14__148025047__RVS__-86","NBPF14__148025047",3166.72051473873,0.00439195057014563,0.115929322263541,0.0378847256620845,0.96977959146267,0.988730296325931
"NBPF14__148025047__FWD__44","NBPF14__148025047",2735.16100562238,-0.00536911263331578,0.124169794731236,-0.0432400862459116,0.965510150752289,0.986503218664582
"NBPF14__148025047__FWD__47","NBPF14__148025047",2565.06040329972,-0.171865906644045,0.133440271931614,-1.28796130400666,0.197759433621862,0.440585287836796
"NBPF14__148025047__FWD__94","NBPF14__148025047",3470.91205035576,-0.00376467446559914,0.115717664932313,-0.0325332737037272,0.974046781488022,0.989798946137779
"NBPF14__148025047__RVS__429","NBPF14__148025047",2534.73303733011,-0.019267124170587,0.136828346548774,-0.140812372995525,0.888018168225227,0.95047341995194
"NBPF14__148025047__RVS__457","NBPF14__148025047",2930.49773955824,-0.238277330069188,0.121928237651093,-1.95424238600936,0.0506725588236247,0.178072073945345
"NBPF14__148025047__FWD__-126","NBPF14__148025047",2823.88749604847,-0.0915479293807336,0.0908158022653425,-1.00806167095515,0.313424856776856,0.56803847101212
"NCF1__74188108__RVS__28","NCF1__74188108",2635.30809688173,0.0247497322667405,0.119438709796962,0.207217009534123,0.835840383914924,0.92887672130102
"NCF1__74188108__RVS__35","NCF1__74188108",2349.02324898414,0.0458909790916971,0.116564214769979,0.393696977946926,0.693804772802485,0.854395474379558
"NCF1__74188108__FWD__74","NCF1__74188108",2938.22239801233,-0.209203546038517,0.114401684014361,-1.82867540666845,0.0674482488216682,0.218355531039857
"NCF1__74188108__RVS__82","NCF1__74188108",2432.13690540726,-0.0432664646318221,0.159875879441114,-0.27062534250364,0.786679202424007,0.906727141658334
"NCF1__74188108__FWD__75","NCF1__74188108",2617.80239310925,-0.090428530956914,0.150771900809243,-0.599770451069158,0.54865922873704,0.765514021881953
