sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
USP28__P1P2__primary__FWD__35	USP28__P1P2	9866.5	1.0164e+05/1.1123e+05	9866.5	1.0644e+05	3.4312	4.6009e+07	1.4424e+06	80.408	1	0	0	0	True
USP28_+_113746238.23-P1P2	USP28__P1P2	6275.9	71064/81262	6275.9	76163	3.601	5.2007e+07	7.5697e+05	80.326	1	0	0	0	True
PMAIP1__57567020__FWD__0	PMAIP1__57567020	7970	83149/92643	7970	87896	3.463	4.5075e+07	1.064e+06	77.483	1	0	0	0	True
CCDC6__P1P2__secondary__FWD__75	CCDC6__P1P2	4932.7	60072/62850	4932.7	61461	3.639	3.8589e+06	5.3713e+05	77.131	1	0	0	0	True
USP28_-_113746230.23-P1P2	USP28__P1P2	7564.1	79887/88044	7564.1	83966	3.4724	3.3272e+07	9.8767e+05	76.877	1	0	0	0	True
CCDC6_+_61666146.23-P1P2	CCDC6__P1P2	6262.4	70524/73288	6262.4	71906	3.5211	3.8179e+06	7.5465e+05	75.565	1	0	0	0	True
PMAIP1__57567020__RVS__48	PMAIP1__57567020	6612.3	69984/72798	6612.3	71391	3.4323	3.9578e+06	8.1542e+05	71.737	1	0	0	0	True
BBC3__P1P2__secondary__FWD__29	BBC3__P1P2	6584.2	68539/72461	6584.2	70500	3.4203	7.6889e+06	8.105e+05	70.996	1	0	0	0	True
CCDC6_-_61666322.23-P1P2	CCDC6__P1P2	5158	56065/61595	5158	58830	3.5114	1.5287e+07	5.724e+05	70.941	1	0	0	0	True
BBC3__P1P2__secondary__RVS__26	BBC3__P1P2	6625.8	68821/72245	6625.8	70533	3.412	5.8629e+06	8.1779e+05	70.669	1	0	0	0	True
USP28_+_113746234.23-P1P2	USP28__P1P2	6726.4	67091/74621	6726.4	70856	3.3968	2.8349e+07	8.3555e+05	70.157	1	0	0	0	True
USP28__P1P2__primary__FWD__55	USP28__P1P2	5992.6	61232/66493	5992.6	63863	3.4135	1.3839e+07	7.0874e+05	68.74	1	0	0	0	True
BBC3_+_47734372.23-P1P2	BBC3__P1P2	5903.3	52547/62091	5903.3	57319	3.2792	4.5548e+07	6.9375e+05	61.73	1	0	0	0	True
BBC3_+_47734383.23-P1P2	BBC3__P1P2	7632.6	67191/69815	7632.6	68503	3.1658	3.442e+06	1.0004e+06	60.857	1	0	0	0	True
CCDC6_-_61666417.23-P1P2	CCDC6__P1P2	5271.1	43470/50002	5271.1	46736	3.1481	2.1333e+07	5.9037e+05	53.966	1	0	0	0	True
BBC3_-_47734401.23-P1P2	BBC3__P1P2	4543.5	41037/41808	4543.5	41423	3.1883	2.9709e+05	4.7778e+05	53.354	1	0	0	0	True
USP28__P1P2__primary__FWD__67	USP28__P1P2	8189	62047/63555	8189	62801	2.9389	1.1361e+06	1.106e+06	51.93	1	0	0	0	True
CCDC6_-_61666258.23-P1P2	CCDC6__P1P2	4303.7	36734/37777	4303.7	37255	3.1135	5.4365e+05	4.4228e+05	49.548	1	0	0	0	True
USP28_+_113745821.23-P1P2	USP28__P1P2	5702.9	42187/48669	5702.9	45428	2.9936	2.1011e+07	6.6045e+05	48.882	1	0	0	0	True
TADA2B_-_7045121.23-P1P2	TADA2B__P1P2	5643.8	42627/39820	5643.8	41223	2.8685	3.9375e+06	6.5071e+05	44.107	1	0	0	0	True
BBC3_-_47734192.23-P1P2	BBC3__P1P2	5260.7	36293/38936	5260.7	37615	2.8377	3.4928e+06	5.8872e+05	42.167	1	0	0	0	True
NF2__29999349__RVS__91	NF2__29999349	5339.6	35386/36323	5339.6	35854	2.7471	4.3843e+05	6.0133e+05	39.351	1	0	0	0	True
NF2__29999349__FWD__97	NF2__29999349	6201.2	39324/39350	6201.2	39337	2.6651	346.15	7.4416e+05	38.411	1	3.9525e-323	7.9051e-323	2.0706e-320	True
TP53BP1__P1__primarysecondary__RVS__67	TP53BP1__P1	5404	32930/37608	5404	35269	2.7061	1.0941e+07	6.1168e+05	38.186	1	2.435e-319	4.87e-319	1.242e-316	True
FBXO42_+_16678915.23-P1P2	FBXO42__P1P2	4421	29905/30573	4421	30239	2.7737	2.2334e+05	4.5954e+05	38.086	1	1.0999e-317	2.1998e-317	5.4662e-315	True
SUPT20H_+_37633763.23-P1P2	SUPT20H__P1P2	5687.4	35988/36595	5687.4	36291	2.6736	1.8366e+05	6.5788e+05	37.732	1	7.5215e-312	1.5043e-311	3.6445e-309	True
SUPT20H_-_37633730.23-P1P2	SUPT20H__P1P2	5204.7	37396/29755	5204.7	33575	2.6893	2.9198e+07	5.798e+05	37.259	1	3.7825e-304	7.565e-304	1.7881e-301	True
NF2__29999349__RVS__92	NF2__29999349	4687.8	29581/32391	4687.8	30986	2.7244	3.9485e+06	4.9954e+05	37.208	1	2.5312e-303	5.0625e-303	1.1681e-300	True
TP53BP1_+_43785309.23-P1	TP53BP1__P1	5111.3	31764/33209	5111.3	32487	2.6679	1.0449e+06	5.6503e+05	36.419	1	1.0791e-290	2.1582e-290	4.8639e-288	True
TP53BP1__P1__primarysecondary__FWD__65	TP53BP1__P1	4824.8	29353/32065	4824.8	30709	2.6699	3.6753e+06	5.2046e+05	35.879	1	3.2312e-282	6.4624e-282	1.4234e-279	True
GAL__P1P2__primary__RVS__63	GAL__P1P2	4382.6	29211/27039	4382.6	28125	2.6817	2.3591e+06	4.5387e+05	35.243	1	2.2297e-272	4.4594e-272	9.6035e-270	True
SUPT20H_+_37633575.23-P1P2	SUPT20H__P1P2	6178.4	40939/31929	6178.4	36434	2.5598	4.0591e+07	7.4026e+05	35.165	1	3.422e-271	6.844e-271	1.4419e-268	True
TP53BP1_+_43785295.23-P1	TP53BP1__P1	5562.8	30971/36013	5562.8	33492	2.5897	1.2713e+07	6.3745e+05	34.981	1	2.17e-268	4.3401e-268	8.9489e-266	True
TP53BP1_+_43785287.23-P1	TP53BP1__P1	5535.8	34083/32532	5535.8	33308	2.5888	1.2023e+06	6.3305e+05	34.905	1	3.1423e-267	6.2847e-267	1.2689e-264	True
FBXO42_-_16678698.23-P1P2	FBXO42__P1P2	5119.6	28810/33808	5119.6	31309	2.6123	1.2491e+07	5.6634e+05	34.801	1	1.1707e-265	2.3415e-265	4.6309e-263	True
TP53BP1_+_43785299.23-P1	TP53BP1__P1	3032.1	19315/20982	3032.1	20148	2.7319	1.3891e+06	2.6862e+05	33.025	1	1.7723e-239	3.5446e-239	6.8702e-237	True
TP53BP1__P1__primarysecondary__FWD__72	TP53BP1__P1	5373.9	30181/31663	5373.9	30922	2.5244	1.0988e+06	6.0683e+05	32.796	1	3.3351e-236	6.6702e-236	1.2675e-233	True
TADA2B_+_7045443.23-P1P2	TADA2B__P1P2	4647.3	25815/28518	4647.3	27166	2.5471	3.6514e+06	4.934e+05	32.059	1	8.2261e-226	1.6452e-225	3.0661e-223	True
CSDE1_+_115300574.23-P1P2	CSDE1__P1P2	4860.1	26695/28871	4860.1	27783	2.5149	2.3659e+06	5.2589e+05	31.61	1	1.3565e-219	2.7129e-219	4.9606e-217	True
NF2__29999349__RVS__25	NF2__29999349	4435.5	22838/28345	4435.5	25591	2.5282	1.5166e+07	4.617e+05	31.135	1	3.9893e-213	7.9786e-213	1.4319e-210	True
FBXO42_+_16678912.23-P1P2	FBXO42__P1P2	4725.1	24630/28315	4725.1	26472	2.4858	6.787e+06	5.0522e+05	30.596	1	6.919e-206	1.3838e-205	2.4382e-203	True
SUPT20H__P1P2__secondary__RVS__54	SUPT20H__P1P2	4753.1	26823/26055	4753.1	26439	2.4755	2.9504e+05	5.0949e+05	30.381	1	4.8805e-203	9.7609e-203	1.6892e-200	True
TADA2B__P1P2__secondary__FWD__9	TADA2B__P1P2	5027.2	27542/26579	5027.2	27061	2.4281	4.6389e+05	5.5184e+05	29.66	1	1.2416e-193	2.4832e-193	4.222e-191	True
TRIP12_+_230786492.23-P1P2	TRIP12__P1P2	6657.9	32628/34163	6657.9	33396	2.3264	1.1779e+06	8.2345e+05	29.465	1	4.0282e-191	8.0565e-191	1.3461e-188	True
FBXO42__P1P2__primarysecondary__FWD__97	FBXO42__P1P2	4222.7	22543/24549	4222.7	23546	2.479	2.0122e+06	4.3047e+05	29.452	1	5.9219e-191	1.1844e-190	1.9454e-188	True
CSDE1_+_115300577.23-P1P2	CSDE1__P1P2	6334.1	30919/33293	6334.1	32106	2.3415	2.8189e+06	7.6698e+05	29.428	1	1.2113e-190	2.4225e-190	3.9128e-188	True
TP53BP1_+_43785094.23-P1	TP53BP1__P1	3612.4	19330/21721	3612.4	20525	2.5061	2.8606e+06	3.4467e+05	28.809	1	8.3364e-183	1.6673e-182	2.6488e-180	True
SUPT20H_+_37633798.23-P1P2	SUPT20H__P1P2	5399.8	29132/26144	5399.8	27638	2.3554	4.4626e+06	6.1101e+05	28.449	1	2.4877e-178	4.9754e-178	7.7769e-176	True
FAM122A_-_71394989.23-P1P2	FAM122A__P1P2	4835.2	22117/27145	4835.2	24631	2.3486	1.2642e+07	5.2206e+05	27.398	1	1.4393e-165	2.8786e-165	4.428e-163	True
FBXO42__P1P2__primarysecondary__FWD__93	FBXO42__P1P2	5313.7	24323/26289	5313.7	25306	2.2515	1.9309e+06	5.9717e+05	25.871	1	7.0795e-148	1.4159e-147	2.144e-145	True
FAM122A_-_71394992.23-P1P2	FAM122A__P1P2	4604.7	21954/23339	4604.7	22647	2.2979	9.5904e+05	4.8698e+05	25.854	1	1.0858e-147	2.1716e-147	3.2378e-145	True
CSDE1__P1P2__secondary__FWD__27	CSDE1__P1P2	4123.1	18859/22316	4123.1	20587	2.3197	5.975e+06	4.1608e+05	25.524	1	5.3067e-144	1.0613e-143	1.5584e-141	True
TRIP12__P1P2__secondary__RVS__63	TRIP12__P1P2	4252.8	19281/22781	4252.8	21031	2.3057	6.1241e+06	4.3485e+05	25.443	1	4.2353e-143	8.4707e-143	1.2252e-140	True
FAM122A_-_71394995.23-P1P2	FAM122A__P1P2	4141.7	19693/21247	4141.7	20470	2.3049	1.2073e+06	4.1877e+05	25.233	1	8.7876e-141	1.7575e-140	2.5047e-138	True
CSDE1_-_115300604.23-P1P2	CSDE1__P1P2	4990.9	23174/23141	4990.9	23157	2.2139	532.5	5.4617e+05	24.581	1	9.9693e-134	1.9939e-133	2.8004e-131	True
TRIP12_-_230786461.23-P1P2	TRIP12__P1P2	4130.3	19891/20028	4130.3	19960	2.2725	9324.1	4.1712e+05	24.509	1	5.8813e-133	1.1763e-132	1.6284e-130	True
TRIP12_-_230786488.23-P1P2	TRIP12__P1P2	4987.7	20521/25425	4987.7	22973	2.2032	1.2026e+07	5.4568e+05	24.347	1	3.1266e-131	6.2532e-131	8.5352e-129	True
RBM15__110881839__FWD__72	RBM15__110881839	4168.7	19307/20602	4168.7	19954	2.2587	8.3859e+05	4.2266e+05	24.281	1	1.5633e-130	3.1265e-130	4.2082e-128	True
FAM122A_-_71395132.23-P1P2	FAM122A__P1P2	4050.4	17769/17228	4050.4	17499	2.1108	1.4653e+05	4.0568e+05	21.114	1	2.9481e-99	5.8961e-99	7.8273e-97	True
UBE2M_+_59069830.23-P1P2	UBE2M__P1P2	4663.9	17168/20602	4663.9	18885	2.0174	5.8955e+06	4.9592e+05	20.194	1	5.513e-91	1.1026e-90	1.4439e-88	True
RBM15__110881839__FWD__70	RBM15__110881839	4621.3	19407/17872	4621.3	18639	2.0117	1.1792e+06	4.8948e+05	20.036	1	1.3264e-89	2.6529e-89	3.4279e-87	True
CLK3_+_74890865.23-P2	CLK3__P2	3658	15749/15143	3658	15446	2.0778	1.833e+05	3.5089e+05	19.9	1	2.0329e-88	4.0657e-88	5.1843e-86	True
CSDE1__P1P2__secondary__FWD__75	CSDE1__P1P2	4321.3	17202/17810	4321.3	17506	2.0181	1.8478e+05	4.4486e+05	19.768	1	2.8112e-87	5.6224e-87	7.0762e-85	True
NF2__29999349__RVS__76	NF2__29999349	5049	18322/20794	5049	19558	1.9535	3.055e+06	5.5525e+05	19.471	1	9.6951e-85	1.939e-84	2.4091e-82	True
RBM15__110881839__FWD__75	RBM15__110881839	4090.9	16109/15400	4090.9	15755	1.9451	2.5145e+05	4.1146e+05	18.184	1	3.4726e-74	6.9452e-74	8.5197e-72	True
EIF4B_+_53400227.23-P1P2	EIF4B__P1P2	5296	19062/19535	5296	19299	1.8653	1.1195e+05	5.9435e+05	18.163	1	5.0682e-74	1.0136e-73	1.2279e-71	True
TGFBR2_+_30648526.23-P1P2	TGFBR2__P1P2	5837.9	20040/21220	5837.9	20630	1.821	6.9693e+05	6.8282e+05	17.901	1	5.8026e-72	1.1605e-71	1.3885e-69	True
FAM122A__P1P2__primarysecondary__FWD__54	FAM122A__P1P2	4308.9	16307/16083	4308.9	16195	1.9099	25174	4.4304e+05	17.858	1	1.2532e-71	2.5064e-71	2.9621e-69	True
TADA2B_+_7045401.23-P1P2	TADA2B__P1P2	3951.8	14968/15027	3951.8	14997	1.9239	1725.1	3.9168e+05	17.649	1	5.1694e-70	1.0339e-69	1.2072e-67	True
LRP6_-_12419720.23-P1P2	LRP6__P1P2	4385.7	16316/15899	4385.7	16107	1.8766	86992	4.5433e+05	17.39	1	4.9078e-68	9.8157e-68	1.1324e-65	True
ATG16L1_+_234160346.23-P1P2	ATG16L1__P1P2	4925.5	17617/17386	4925.5	17502	1.8289	26588	5.36e+05	17.178	1	1.953e-66	3.9061e-66	4.4534e-64	True
TADA2B__P1P2__secondary__FWD__68	TADA2B__P1P2	4059.7	14296/15246	4059.7	14771	1.863	4.5071e+05	4.0701e+05	16.789	1	1.4568e-63	2.9136e-63	3.2832e-61	True
SHCBP1_+_46655245.23-P1P2	SHCBP1__P1P2	4317.2	14682/15972	4317.2	15327	1.8277	8.3248e+05	4.4425e+05	16.518	1	1.3514e-61	2.7029e-61	3.0108e-59	True
HRAS_-_535518.23-P1	HRAS__P1	4151.1	13971/15712	4151.1	14842	1.8378	1.5166e+06	4.2011e+05	16.494	1	2.042e-61	4.0841e-61	4.4976e-59	True
TGFBR2__P1P2__primary__RVS__75	TGFBR2__P1P2	3609.2	12600/13944	3609.2	13272	1.8784	9.0343e+05	3.4424e+05	16.47	1	3.0347e-61	6.0693e-61	6.6088e-59	True
TRIP12_+_230786278.23-P1P2	TRIP12__P1P2	4572.5	14677/16797	4572.5	15737	1.7828	2.247e+06	4.8214e+05	16.078	1	1.8123e-58	3.6246e-58	3.9029e-56	True
CHEK2_+_29137741.23-P1P2	CHEK2__P1P2	6269.7	18588/21792	6269.7	20190	1.687	5.1326e+06	7.559e+05	16.011	1	5.3365e-58	1.0673e-57	1.1366e-55	True
BAK1__33547269__FWD__55	BAK1__33547269	4704.4	14006/17894	4704.4	15950	1.7613	7.558e+06	5.0206e+05	15.871	1	5.0298e-57	1.006e-56	1.0597e-54	True
BAK1__33547269__RVS__73	BAK1__33547269	4914	15177/17546	4914	16362	1.7351	2.8039e+06	5.3423e+05	15.662	1	1.3778e-55	2.7556e-55	2.8715e-53	True
TAF5L_+_229761697.23-P1P2	TAF5L__P1P2	4880.8	17278/14587	4880.8	15932	1.7066	3.62e+06	5.291e+05	15.194	1	1.9496e-52	3.8992e-52	4.0199e-50	True
EIF4B_+_53400192.23-P1P2	EIF4B__P1P2	4630.7	14972/15374	4630.7	15173	1.712	80817	4.9089e+05	15.047	1	1.8041e-51	3.6081e-51	3.6807e-49	True
TGFBR2_+_30648131.23-P1P2	TGFBR2__P1P2	4758.3	15394/15506	4758.3	15450	1.6989	6208.8	5.1028e+05	14.967	1	6.036e-51	1.2072e-50	1.2186e-48	True
BAK1__33547269__RVS__14	BAK1__33547269	4815.4	14588/16334	4815.4	15461	1.6827	1.5244e+06	5.1903e+05	14.776	1	1.0451e-49	2.0903e-49	2.0883e-47	True
BAK1__33547269__RVS__50	BAK1__33547269	5303.3	16467/16937	5303.3	16702	1.6549	1.1051e+05	5.9551e+05	14.771	1	1.122e-49	2.2441e-49	2.2191e-47	True
EIF4B_-_53400313.23-P1P2	EIF4B__P1P2	4188.5	13564/13995	4188.5	13780	1.7178	92603	4.2551e+05	14.703	1	3.0733e-49	6.1467e-49	6.0169e-47	True
BAK1__33547269__RVS__36	BAK1__33547269	5467.3	17129/16871	5467.3	17000	1.6364	33133	6.2192e+05	14.624	1	9.91e-49	1.982e-48	1.9207e-46	True
TGFBR2__P1P2__primary__RVS__73	TGFBR2__P1P2	4122	12316/14657	4122	13487	1.7099	2.7398e+06	4.1593e+05	14.52	1	4.504e-48	9.008e-48	8.6432e-46	True
TGFBR2_-_30648144.23-P1P2	TGFBR2__P1P2	5029.3	15495/16095	5029.3	15795	1.6509	1.803e+05	5.5216e+05	14.488	1	7.2142e-48	1.4428e-47	1.3708e-45	True
TMED2_+_124069153.23-P1P2	TMED2__P1P2	4270.5	13405/13535	4270.5	13470	1.657	8431	4.3742e+05	13.909	1	2.7908e-44	5.5816e-44	5.2516e-42	True
BAK1__33547269__FWD__38	BAK1__33547269	6033	17387/17995	6033	17691	1.5519	1.8472e+05	7.1557e+05	13.781	1	1.6578e-43	3.3156e-43	3.0896e-41	True
FBXO42_-_16678549.23-P1P2	FBXO42__P1P2	4359.7	14531/12614	4359.7	13572	1.6381	1.8362e+06	4.505e+05	13.726	1	3.5585e-43	7.117e-43	6.5686e-41	True
CCNC__P1P2__secondary__FWD__54	CCNC__P1P2	4416.8	14343/13083	4416.8	13713	1.6342	7.9398e+05	4.5893e+05	13.722	1	3.7361e-43	7.4723e-43	6.8315e-41	True
TMED2_-_124069112.23-P1P2	TMED2__P1P2	3892.6	12331/12292	3892.6	12311	1.6609	749.6	3.8336e+05	13.597	1	2.0883e-42	4.1766e-42	3.7827e-40	True
CCNC_+_100016473.23-P1P2	CCNC__P1P2	3969.4	12704/12025	3969.4	12364	1.6389	2.3071e+05	3.9418e+05	13.371	1	4.4651e-41	8.9301e-41	8.0131e-39	True
PTPN12_-_77166641.23-P1P2	PTPN12__P1P2	4395	13037/13556	4395	13296	1.5969	1.3484e+05	4.5571e+05	13.186	1	5.2869e-40	1.0574e-39	9.401e-38	True
UBE2M__P1P2__primarysecondary__FWD__55	UBE2M__P1P2	3366.3	10051/11373	3366.3	10712	1.6696	8.7335e+05	3.1174e+05	13.156	1	7.8613e-40	1.5723e-39	1.3852e-37	True
TGFBR2_+_30648531.23-P1P2	TGFBR2__P1P2	5014.7	14776/14532	5014.7	14654	1.5469	29790	5.4989e+05	12.999	1	6.1846e-39	1.2369e-38	1.0799e-36	True
CHEK2__P1P2__primary__FWD__73	CHEK2__P1P2	6290.5	16692/18450	6290.5	17571	1.4818	1.5451e+06	7.5947e+05	12.944	1	1.2658e-38	2.5315e-38	2.1904e-36	True
TGFBR2_+_30648147.23-P1P2	TGFBR2__P1P2	5538.9	15624/15960	5538.9	15792	1.5114	56398	6.3356e+05	12.882	1	2.8564e-38	5.7128e-38	4.8993e-36	True
UBE2M_+_59070296.23-P1P2	UBE2M__P1P2	5002.3	14668/14340	5002.3	14504	1.5356	53845	5.4795e+05	12.837	1	5.1137e-38	1.0227e-37	8.6942e-36	True
BAK1__33547269__FWD__65	BAK1__33547269	7128.2	19253/19405	7128.2	19329	1.439	11553	9.0755e+05	12.807	1	7.4927e-38	1.4985e-37	1.2628e-35	True
EIF4B_-_53400539.23-P1P2	EIF4B__P1P2	3896.8	11432/12065	3896.8	11748	1.5918	2.0023e+05	3.8394e+05	12.671	1	4.2696e-37	8.5392e-37	7.1339e-35	True
CCNC_-_100016480.23-P1P2	CCNC__P1P2	5795.3	16688/15373	5795.3	16031	1.4677	8.6416e+05	6.7574e+05	12.451	1	6.891e-36	1.3782e-35	1.1416e-33	True
BAK1__33547269__FWD__14	BAK1__33547269	5547.2	15558/15334	5547.2	15446	1.4772	25034	6.3491e+05	12.423	1	9.7999e-36	1.96e-35	1.6097e-33	True
GPATCH8_+_42580745.23-P1P2	GPATCH8__P1P2	4572.5	12168/13943	4572.5	13055	1.5134	1.5747e+06	4.8214e+05	12.216	1	1.269e-34	2.538e-34	2.0668e-32	True
FAM98A_+_33824324.23-P1P2	FAM98A__P1P2	4334.8	11622/13234	4334.8	12428	1.5193	1.2995e+06	4.4684e+05	12.107	1	4.8729e-34	9.7458e-34	7.8706e-32	True
CCNC__P1P2__secondary__FWD__42	CCNC__P1P2	3995.4	11871/11347	3995.4	11609	1.5387	1.3728e+05	3.9785e+05	12.071	1	7.4902e-34	1.498e-33	1.1998e-31	True
TGFBR2__P1P2__primary__RVS__72	TGFBR2__P1P2	4527.9	12510/13059	4527.9	12785	1.4973	1.5096e+05	4.7545e+05	11.975	1	2.4134e-33	4.8267e-33	3.8341e-31	True
CLDN3_-_73184110.23-P1P2	CLDN3__P1P2	3805.4	10376/11800	3805.4	11088	1.5427	1.0134e+06	3.7119e+05	11.954	1	3.1037e-33	6.2074e-33	4.8908e-31	True
CCNC_-_100016531.23-P1P2	CCNC__P1P2	4039	11510/11720	4039	11615	1.5237	22139	4.0405e+05	11.918	1	4.7545e-33	9.509e-33	7.4316e-31	True
TRIP12__P1P2__primary__FWD__26	TRIP12__P1P2	4032.8	10188/12866	4032.8	11527	1.5149	3.5857e+06	4.0316e+05	11.803	1	1.8943e-32	3.7887e-32	2.9373e-30	True
CCNC_+_100016491.23-P1P2	CCNC__P1P2	5319.9	14269/14625	5319.9	14447	1.4412	63372	5.9817e+05	11.801	1	1.9184e-32	3.8368e-32	2.951e-30	True
ZNF787_+_56632429.23-P1P2	ZNF787__P1P2	3856.3	10592/11466	3856.3	11029	1.5158	3.816e+05	3.7828e+05	11.662	1	9.9642e-32	1.9928e-31	1.5207e-29	True
SPRY4_-_141704118.23-P1P2	SPRY4__P1P2	6172.1	15232/17015	6172.1	16124	1.3852	1.5881e+06	7.3919e+05	11.575	1	2.7731e-31	5.5462e-31	4.1991e-29	True
ZNF787__P1P2__primary__RVS__59	ZNF787__P1P2	4643.1	12604/12849	4643.1	12727	1.4545	29919	4.9278e+05	11.515	1	5.5205e-31	1.1041e-30	8.2945e-29	True
NF2__29999349__FWD__28	NF2__29999349	3782.6	10648/10764	3782.6	10706	1.5008	6753.7	3.6802e+05	11.413	1	1.8034e-30	3.6067e-30	2.6887e-28	True
PMAIP1__57567020__RVS__67	PMAIP1__57567020	5310.6	13868/14365	5310.6	14116	1.4103	1.2321e+05	5.9667e+05	11.4	1	2.0955e-30	4.1911e-30	3.1004e-28	True
GPATCH8__P1P2__primary__FWD__56	GPATCH8__P1P2	5327.2	13734/14417	5327.2	14076	1.4016	2.3277e+05	5.9933e+05	11.3	1	6.5362e-30	1.3072e-29	9.5973e-28	True
CSDE1_+_115300163.23-P1P2	CSDE1__P1P2	4657.6	11399/13687	4657.6	12543	1.429	2.619e+06	4.9497e+05	11.208	1	1.8622e-29	3.7243e-29	2.7137e-27	True
TAF5L_+_229761379.23-P1P2	TAF5L__P1P2	4572.5	12565/12140	4572.5	12353	1.4335	90249	4.8214e+05	11.205	1	1.9375e-29	3.875e-29	2.8024e-27	True
CAPZA1_+_113162673.23-P1P2	CAPZA1__P1P2	5108.2	13093/13924	5108.2	13508	1.4028	3.455e+05	5.6454e+05	11.18	1	2.5576e-29	5.1152e-29	3.6719e-27	True
ZNF787__P1P2__primary__RVS__57	ZNF787__P1P2	5204.7	13442/13586	5204.7	13514	1.3764	10334	5.798e+05	10.912	1	5.0281e-28	1.0056e-27	7.1657e-26	True
CHEK2_+_29137765.23-P1P2	CHEK2__P1P2	4886	12226/13366	4886	12796	1.3888	6.498e+05	5.299e+05	10.866	1	8.3522e-28	1.6704e-27	1.1816e-25	True
GLCE_+_69452985.23-P1P2	GLCE__P1P2	5462.1	14605/13407	5462.1	14006	1.3584	7.1793e+05	6.2108e+05	10.841	1	1.0953e-27	2.1906e-27	1.5384e-25	True
SUFU__104263513__FWD__29	SUFU__104263513	4708.5	11877/12622	4708.5	12249	1.3791	2.7759e+05	5.0269e+05	10.635	1	1.019e-26	2.038e-26	1.4209e-24	True
CLK3__P2__primarysecondary__FWD__54	CLK3__P2	3671.5	8708.4/11172	3671.5	9940.3	1.4367	3.0354e+06	3.5273e+05	10.555	1	2.405e-26	4.81e-26	3.3296e-24	True
SUFU__104263513__RVS__28	SUFU__104263513	4635.9	11899/12152	4635.9	12026	1.375	31961	4.9168e+05	10.539	1	2.8538e-26	5.7075e-26	3.9228e-24	True
SPRY4__P1P2__primary__FWD__27	SPRY4__P1P2	5511.9	12798/14551	5511.9	13675	1.3107	1.5358e+06	6.2916e+05	10.291	1	3.8806e-25	7.7613e-25	5.2968e-23	True
SPRY4__P1P2__primary__FWD__77	SPRY4__P1P2	4711.6	11129/12782	4711.6	11956	1.3432	1.3659e+06	5.0316e+05	10.212	1	8.749e-25	1.7498e-24	1.1858e-22	True
RBM47__P1P2__secondary__RVS__49	RBM47__P1P2	4336.9	10526/11531	4336.9	11028	1.3463	5.0518e+05	4.4715e+05	10.007	1	7.1151e-24	1.423e-23	9.5767e-22	True
