sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BMS1__P1P2__secondary__RVS__67	BMS1__P1P2	4403.7	4072.8/4108.4	4403.7	4090.6	-0.10638	632.6	7.1918e+05	0.36922	0.35598	0.64402	0.71197	0.99914	False
non-targeting_00562	negative_control__na	3368.4	3465.3/3818.7	3368.4	3642	0.11261	62444	5.5011e+05	0.36881	0.64387	0.35613	0.71227	0.99914	True
non-targeting_01572	negative_control__na	4131	4394.4/4473.4	4131	4433.9	0.10206	3118.4	6.7464e+05	0.36875	0.64384	0.35616	0.71231	0.99914	True
non-targeting_01756	negative_control__na	3680.5	3383.6/3405.8	3680.5	3394.7	-0.1166	246.47	6.0108e+05	0.3687	0.35618	0.64382	0.71235	0.99914	False
non-targeting_00186	negative_control__na	3420	3312.3/2976.9	3420	3144.6	-0.12105	56243	5.5852e+05	0.36841	0.35628	0.64372	0.71256	0.99914	False
TPI1_-_6977036.23-P1P2	TPI1__P1P2	2908.9	3065.5/2244.7	2908.9	2655.1	-0.13166	3.3686e+05	4.7505e+05	0.36825	0.35634	0.64366	0.71268	0.99914	False
non-targeting_00606	negative_control__na	3576.5	3506.1/3084.1	3576.5	3295.1	-0.11818	89039	5.8409e+05	0.36816	0.35638	0.64362	0.71276	0.99914	False
non-targeting_01830	negative_control__na	3591.7	3251.5/3368.2	3591.7	3309.8	-0.11786	6806.3	5.8656e+05	0.368	0.35644	0.64356	0.71287	0.99914	False
POC1B_-_89919785.23-P1P2	POC1B__P1P2	3224	3230.6/3751.4	3224	3491	0.11475	1.356e+05	5.2652e+05	0.36796	0.64355	0.35645	0.71291	0.99914	True
non-targeting_01000	negative_control__na	5479.4	5402.6/4860	5479.4	5131.3	-0.094667	1.472e+05	8.9485e+05	0.36795	0.35645	0.64355	0.71291	0.99914	False
non-targeting_00557	negative_control__na	4130	3640.9/4014.9	4130	3827.9	-0.10958	69941	6.7448e+05	0.3679	0.35647	0.64353	0.71295	0.99914	False
ARAP3_+_141061775.23-P1P2	ARAP3__P1P2	4123.9	3663.5/3980.6	4123.9	3822	-0.10965	50305	6.7349e+05	0.36786	0.35649	0.64351	0.71298	0.99914	False
KLHL5__P1P2__secondary__FWD__9	KLHL5__P1P2	3883.6	3970.3/3211.9	3883.6	3591.1	-0.11293	2.8756e+05	6.3423e+05	0.36726	0.35671	0.64329	0.71343	0.99914	False
non-targeting_01550	negative_control__na	3805.8	4678.6/3511.9	3805.8	4095.2	0.10573	6.8066e+05	6.2153e+05	0.36716	0.64325	0.35675	0.7135	0.99914	True
non-targeting_01888	negative_control__na	4254.2	4265.8/3631.6	4254.2	3948.7	-0.1075	2.0107e+05	6.9477e+05	0.36656	0.35697	0.64303	0.71395	0.99914	False
FAM122A__P1P2__primarysecondary__RVS__48	FAM122A__P1P2	3881.5	4781.2/3565.5	3881.5	4173.3	0.10454	7.3897e+05	6.339e+05	0.36649	0.643	0.357	0.714	0.99914	True
CMC1__P1P2__primarysecondary__FWD__48	CMC1__P1P2	3624	3248.9/3435.4	3624	3342.2	-0.11676	17405	5.9184e+05	0.36633	0.35706	0.64294	0.71412	0.99914	False
GTF2H2__all__primarysecondary__RVS__37	GTF2H2__ENST00000274400.5_ENST00000330280.7	4517.9	4390.9/4016	4517.9	4203.5	-0.10403	70285	7.3782e+05	0.366	0.35718	0.64282	0.71436	0.99914	False
ARRDC4__P1P2__primary__FWD__98	ARRDC4__P1P2	3237.1	3032.5/2909.6	3237.1	2971	-0.12371	7542.1	5.2866e+05	0.36598	0.35719	0.64281	0.71438	0.99914	False
ARAP3_+_141061783.23-P1P2	ARAP3__P1P2	3424	2486.6/3814.1	3424	3150.4	-0.12012	8.8112e+05	5.5918e+05	0.36591	0.35722	0.64278	0.71443	0.99914	False
FBXL14_+_1703637.23-P1P2	FBXL14__P1P2	3428	3033.3/3275.8	3428	3154.5	-0.11991	29389	5.5984e+05	0.36552	0.35736	0.64264	0.71472	0.99914	False
AHR__P1P2__primary__FWD__457	AHR__P1P2	4504.7	5234.9/4401.5	4504.7	4818.2	0.097035	3.4724e+05	7.3568e+05	0.36548	0.64262	0.35738	0.71475	0.99914	True
AKAP3__P1__primarysecondary__FWD__68	AKAP3__P1	5242	5342.6/4465.4	5242	4904	-0.096145	3.8478e+05	8.5609e+05	0.36533	0.35743	0.64257	0.71487	0.99914	False
non-targeting_00971	negative_control__na	3708.8	3144.6/3704.6	3708.8	3424.6	-0.11499	1.5683e+05	6.0569e+05	0.3652	0.35748	0.64252	0.71496	0.99914	False
C19orf70__P1P2__primarysecondary__FWD__57	C19orf70__P1P2	4079.5	4051.1/3511.9	4079.5	3781.5	-0.10941	1.4538e+05	6.6623e+05	0.36512	0.35751	0.64249	0.71502	0.99914	False
FAM102A__P1P2__secondary__RVS__51	FAM102A__P1P2	2958.4	3048.1/3376.1	2958.4	3212.1	0.11868	53804	4.8314e+05	0.36506	0.64246	0.35754	0.71507	0.99914	True
KIAA0247__P1P2__secondary__RVS__33	KIAA0247__P1P2	3253.3	3282.8/3756	3253.3	3519.4	0.11338	1.1195e+05	5.313e+05	0.36502	0.64245	0.35755	0.7151	0.99914	True
TXNDC16_+_53018823.23-P1P2	TXNDC16__P1P2	3690.6	3753.8/4193.9	3690.6	3973.9	0.10665	96840	6.0273e+05	0.36485	0.64239	0.35761	0.71523	0.99914	True
non-targeting_01665	negative_control__na	4961.3	4755.1/5823.8	4961.3	5289.5	0.0924	5.7109e+05	8.1023e+05	0.36463	0.64231	0.35769	0.71539	0.99914	True
BIVM__P1__primarysecondary__RVS__76	BIVM__P1	2909.9	2405.8/2911.9	2909.9	2658.9	-0.13011	1.2808e+05	4.7522e+05	0.36417	0.35787	0.64213	0.71573	0.99914	False
PPP2CA__P1P2__secondary__FWD__55	PPP2CA__P1P2	3893.7	3340.1/3866.6	3893.7	3603.4	-0.11175	1.3858e+05	6.3588e+05	0.36404	0.35791	0.64209	0.71583	0.99914	False
ZFYVE9_-_52607970.23-P1P2	ZFYVE9__P1P2	2881.6	2333.7/2930.2	2881.6	2631.9	-0.13071	1.7791e+05	4.706e+05	0.36401	0.35793	0.64207	0.71585	0.99914	False
non-targeting_00700	negative_control__na	3746.2	4384/3677.2	3746.2	4030.6	0.10555	2.4973e+05	6.118e+05	0.36363	0.64193	0.35807	0.71613	0.99914	True
CTXN1__P1P2__primarysecondary__FWD__75	CTXN1__P1P2	3093.7	3145.4/3558.6	3093.7	3352	0.11566	85362	5.0524e+05	0.36342	0.64185	0.35815	0.71629	0.99914	True
SUPT7L__P1P2__secondary__FWD__25	SUPT7L__P1P2	4518.9	4410.1/5251.3	4518.9	4830.7	0.096239	3.5382e+05	7.3798e+05	0.36295	0.64168	0.35832	0.71664	0.99914	True
non-targeting_00523	negative_control__na	3860.3	4780.3/3516.4	3860.3	4148.4	0.1038	7.987e+05	6.3044e+05	0.36277	0.64161	0.35839	0.71677	0.99914	True
FAR1__P1P2__secondary__FWD__40	FAR1__P1P2	3259.4	2596.1/3393.2	3259.4	2994.7	-0.12214	3.1769e+05	5.3229e+05	0.36277	0.35839	0.64161	0.71678	0.99914	False
